audit_id,dataset,auditor_id,label_answerable,failure_type,confidence,notes
fever-v4-n100-00001,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00002,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00003,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00004,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00005,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00006,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00007,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00008,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00009,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00010,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00011,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00012,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00013,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00014,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00015,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00016,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00017,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00018,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00019,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00020,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00021,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00022,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00023,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00024,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00025,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00026,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00027,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00028,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00029,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00030,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00031,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00032,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00033,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00034,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00035,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00036,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00037,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00038,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00039,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00040,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00041,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00042,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00043,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00044,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00045,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00046,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00047,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00048,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00049,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00050,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00051,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00052,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00053,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00054,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00055,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00056,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00057,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00058,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00059,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00060,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00061,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00062,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00063,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00064,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00065,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00066,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00067,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00068,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00069,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00070,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00071,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00072,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00073,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00074,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00075,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00076,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00077,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00078,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00079,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00080,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00081,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00082,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00083,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00084,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00085,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00086,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00087,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00088,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00089,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00090,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00091,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00092,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00093,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00094,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00095,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00096,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00097,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00098,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00099,copenlu/fever_gold_evidence,auditor1,,,,
fever-v4-n100-00100,copenlu/fever_gold_evidence,auditor1,,,,
